Distance Between Stations (km),Weather Conditions,Day of the Week,Time of Day,Train Type,Historical Delay (min),Route Congestion
160,Rainy,Friday,Evening,Express,50,High
185,Foggy,Saturday,Night,Superfast,60,Low
165,Clear,Sunday,Morning,Local,25,Medium
190,Rainy,Monday,Afternoon,Express,40,High
170,Foggy,Tuesday,Evening,Superfast,50,Low
195,Clear,Wednesday,Night,Local,30,Medium
175,Rainy,Thursday,Morning,Express,5,High
200,Foggy,Friday,Afternoon,Superfast,45,Low
180,Clear,Saturday,Evening,Local,15,Medium
205,Rainy,Sunday,Night,Express,55,High
185,Foggy,Monday,Morning,Superfast,65,Low
210,Clear,Tuesday,Afternoon,Local,30,Medium
190,Rainy,Wednesday,Evening,Express,40,High
215,Foggy,Thursday,Night,Superfast,50,Low
195,Clear,Friday,Morning,Local,20,Medium
220,Rainy,Saturday,Afternoon,Express,55,High
200,Foggy,Sunday,Evening,Superfast,65,Low
225,Clear,Monday,Night,Local,25,Medium
205,Rainy,Tuesday,Morning,Express,35,High
230,Foggy,Wednesday,Afternoon,Superfast,45,Low
210,Clear,Thursday,Evening,Local,10,Medium
235,Rainy,Friday,Night,Express,50,High
215,Foggy,Saturday,Morning,Superfast,60,Low
240,Clear,Sunday,Afternoon,Local,30,Medium
220,Rainy,Monday,Evening,Express,40,High
245,Foggy,Tuesday,Night,Superfast,50,Low
225,Clear,Wednesday,Morning,Local,15,Medium
250,Rainy,Thursday,Afternoon,Express,55,High
230,Foggy,Friday,Evening,Superfast,65,Low
255,Clear,Saturday,Night,Local,20,Medium
235,Rainy,Sunday,Morning,Express,35,High
260,Foggy,Monday,Afternoon,Superfast,45,Low
240,Clear,Tuesday,Evening,Local,5,Medium
265,Rainy,Wednesday,Night,Express,50,High
245,Foggy,Thursday,Morning,Superfast,60,Low
270,Clear,Friday,Afternoon,Local,30,Medium
250,Rainy,Saturday,Evening,Express,40,High
275,Foggy,Sunday,Night,Superfast,55,Low
255,Clear,Monday,Morning,Local,10,Medium
280,Rainy,Tuesday,Afternoon,Express,45,High
260,Foggy,Wednesday,Evening,Superfast,50,Low
285,Clear,Thursday,Night,Local,20,Medium
265,Rainy,Friday,Morning,Express,35,High
290,Foggy,Saturday,Afternoon,Superfast,40,Low
270,Clear,Sunday,Evening,Local,15,Medium
295,Rainy,Monday,Night,Express,50,High
275,Foggy,Tuesday,Morning,Superfast,55,Low
300,Clear,Wednesday,Afternoon,Local,25,Medium
280,Rainy,Thursday,Evening,Express,40,High
305,Foggy,Friday,Night,Superfast,45,Low
285,Clear,Saturday,Morning,Local,5,Medium
310,Rainy,Sunday,Afternoon,Express,60,High
290,Foggy,Monday,Evening,Superfast,65,Low
315,Clear,Tuesday,Night,Local,30,Medium
295,Rainy,Wednesday,Morning,Express,35,High
320,Foggy,Thursday,Afternoon,Superfast,40,Low
300,Clear,Friday,Evening,Local,10,Medium
325,Rainy,Saturday,Night,Express,45,High
305,Foggy,Sunday,Morning,Superfast,50,Low
330,Clear,Monday,Afternoon,Local,15,Medium
310,Rainy,Tuesday,Evening,Express,55,High
335,Foggy,Wednesday,Night,Superfast,60,Low
315,Clear,Thursday,Morning,Local,20,Medium
340,Rainy,Friday,Afternoon,Express,35,High
320,Foggy,Saturday,Evening,Superfast,40,Low
345,Clear,Sunday,Night,Local,5,Medium
270,Clear,Sunday,Morning,Local,1,Medium
185,Rainy,Monday,Afternoon,Express,7,High
115,Foggy,Tuesday,Evening,Superfast,12,Low
220,Clear,Wednesday,Night,Local,0,Medium
140,Rainy,Thursday,Morning,Express,6,High
95,Foggy,Friday,Afternoon,Superfast,13,Low
260,Clear,Saturday,Evening,Local,2,Medium
175,Rainy,Sunday,Night,Express,5,High
85,Foggy,Monday,Morning,Superfast,14,Low
230,Clear,Tuesday,Afternoon,Local,1,Medium
160,Rainy,Wednesday,Evening,Express,4,High
75,Foggy,Thursday,Night,Superfast,15,Low
250,Clear,Friday,Morning,Local,0,Medium
130,Rainy,Saturday,Afternoon,Express,3,High
65,Foggy,Sunday,Evening,Superfast,16,Low
215,Clear,Monday,Night,Local,2,Medium
145,Rainy,Tuesday,Morning,Express,2,High
55,Foggy,Wednesday,Afternoon,Superfast,17,Low
235,Clear,Thursday,Evening,Local,1,Medium
165,Rainy,Friday,Night,Express,1,High
105,Foggy,Saturday,Morning,Superfast,18,Low
225,Clear,Sunday,Afternoon,Local,0,Medium
150,Rainy,Monday,Evening,Express,2,High
100,Foggy,Tuesday,Night,Superfast,19,Low
240,Clear,Wednesday,Morning,Local,1,Medium
135,Rainy,Thursday,Afternoon,Express,3,High
90,Foggy,Friday,Evening,Superfast,20,Low
255,Clear,Saturday,Night,Local,0,Medium
170,Rainy,Sunday,Morning,Express,4,High
80,Foggy,Monday,Afternoon,Superfast,21,Low
210,Clear,Tuesday,Evening,Local,2,Medium
120,Rainy,Wednesday,Night,Express,5,High
70,Foggy,Thursday,Morning,Superfast,22,Low
205,Clear,Friday,Afternoon,Local,1,Medium
155,Rainy,Saturday,Evening,Express,6,High
60,Foggy,Sunday,Night,Superfast,23,Low
275,Clear,Monday,Morning,Local,0,Medium
180,Rainy,Tuesday,Afternoon,Express,7,High
110,Foggy,Wednesday,Evening,Superfast,24,Low
265,Clear,Thursday,Night,Local,2,Medium
190,Rainy,Friday,Morning,Express,8,High
125,Foggy,Saturday,Afternoon,Superfast,25,Low
225,Clear,Sunday,Evening,Local,1,Medium
165,Rainy,Monday,Night,Express,9,High
95,Foggy,Tuesday,Morning,Superfast,26,Low
280,Clear,Wednesday,Afternoon,Local,0,Medium
200,Rainy,Thursday,Evening,Express,10,High
135,Foggy,Friday,Night,Superfast,27,Low
270,Clear,Saturday,Morning,Local,2,Medium
175,Rainy,Sunday,Afternoon,Express,11,High
85,Foggy,Monday,Evening,Superfast,28,Low
230,Clear,Tuesday,Night,Local,1,Medium
150,Rainy,Wednesday,Morning,Express,12,High
75,Foggy,Thursday,Afternoon,Superfast,29,Low
255,Clear,Friday,Evening,Local,0,Medium
130,Rainy,Saturday,Night,Express,13,High
65,Foggy,Sunday,Morning,Superfast,30,Low
215,Clear,Monday,Afternoon,Local,2,Medium
145,Rainy,Tuesday,Evening,Express,14,High
55,Foggy,Wednesday,Night,Superfast,31,Low
235,Clear,Thursday,Morning,Local,1,Medium
160,Rainy,Friday,Afternoon,Express,15,High
105,Foggy,Saturday,Evening,Superfast,32,Low
225,Clear,Sunday,Night,Local,0,Medium
175,Rainy,Monday,Morning,Express,16,High
100,Foggy,Tuesday,Afternoon,Superfast,33,Low
240,Clear,Wednesday,Evening,Local,2,Medium
185,Rainy,Thursday,Night,Express,17,High
90,Foggy,Friday,Morning,Superfast,34,Low
260,Clear,Saturday,Afternoon,Local,1,Medium
190,Rainy,Sunday,Evening,Express,18,High
115,Foggy,Monday,Night,Superfast,35,Low
250,Clear,Tuesday,Morning,Local,0,Medium
170,Rainy,Wednesday,Afternoon,Express,19,High
80,Foggy,Thursday,Evening,Superfast,36,Low
230,Clear,Friday,Night,Local,2,Medium
155,Rainy,Saturday,Morning,Express,20,High
70,Foggy,Sunday,Afternoon,Superfast,37,Low
245,Clear,Monday,Evening,Local,1,Medium
165,Rainy,Tuesday,Night,Express,21,High
95,Foggy,Wednesday,Morning,Superfast,38,Low
265,Clear,Thursday,Afternoon,Local,0,Medium
180,Rainy,Friday,Evening,Express,22,High
110,Foggy,Saturday,Night,Superfast,39,Low
255,Clear,Sunday,Morning,Local,2,Medium
140,Rainy,Monday,Afternoon,Express,23,High
85,Foggy,Tuesday,Evening,Superfast,40,Low
220,Clear,Wednesday,Night,Local,1,Medium
175,Rainy,Thursday,Morning,Express,24,High
100,Foggy,Friday,Afternoon,Superfast,41,Low
235,Clear,Saturday,Evening,Local,0,Medium
150,Rainy,Sunday,Night,Express,25,High
75,Foggy,Monday,Morning,Superfast,42,Low
245,Clear,Tuesday,Afternoon,Local,2,Medium
160,Rainy,Wednesday,Evening,Express,26,High
65,Foggy,Thursday,Night,Superfast,43,Low
270,Clear,Friday,Morning,Local,1,Medium
190,Rainy,Saturday,Afternoon,Express,27,High
120,Foggy,Sunday,Evening,Superfast,44,Low
260,Clear,Monday,Night,Local,0,Medium
130,Rainy,Tuesday,Morning,Express,28,High
55,Foggy,Wednesday,Afternoon,Superfast,45,Low
225,Clear,Thursday,Evening,Local,2,Medium
145,Rainy,Friday,Night,Express,29,High
105,Foggy,Saturday,Morning,Superfast,46,Low
250,Clear,Sunday,Afternoon,Local,1,Medium
185,Rainy,Monday,Evening,Express,30,High
90,Foggy,Tuesday,Night,Superfast,47,Low
275,Clear,Wednesday,Morning,Local,0,Medium
170,Rainy,Thursday,Afternoon,Express,31,High
80,Foggy,Friday,Evening,Superfast,48,Low
215,Clear,Saturday,Night,Local,2,Medium
165,Rainy,Sunday,Morning,Express,32,High
115,Foggy,Monday,Afternoon,Superfast,49,Low
235,Clear,Tuesday,Evening,Local,1,Medium
150,Rainy,Wednesday,Night,Express,33,High
100,Foggy,Thursday,Morning,Superfast,50,Low
245,Clear,Friday,Afternoon,Local,0,Medium
180,Rainy,Saturday,Evening,Express,34,High
125,Foggy,Sunday,Night,Superfast,51,Low
265,Clear,Monday,Morning,Local,2,Medium
190,Rainy,Tuesday,Afternoon,Express,35,High
110,Foggy,Wednesday,Evening,Superfast,52,Low
255,Clear,Thursday,Night,Local,1,Medium
140,Rainy,Friday,Morning,Express,36,High
85,Foggy,Saturday,Afternoon,Superfast,53,Low
220,Clear,Sunday,Evening,Local,0,Medium
175,Rainy,Monday,Night,Express,37,High
95,Foggy,Tuesday,Morning,Superfast,54,Low
230,Clear,Wednesday,Afternoon,Local,2,Medium
155,Rainy,Thursday,Evening,Express,38,High
70,Foggy,Friday,Night,Superfast,55,Low
240,Clear,Saturday,Morning,Local,1,Medium
165,Rainy,Sunday,Afternoon,Express,39,High
60,Foggy,Monday,Evening,Superfast,56,Low
250,Clear,Tuesday,Night,Local,0,Medium
135,Rainy,Wednesday,Morning,Express,40,High
50,Foggy,Thursday,Afternoon,Superfast,57,Low
225,Clear,Friday,Evening,Local,2,Medium
145,Rainy,Saturday,Night,Express,41,High
105,Foggy,Sunday,Morning,Superfast,58,Low
235,Clear,Monday,Afternoon,Local,1,Medium
170,Rainy,Tuesday,Evening,Express,42,High
80,Foggy,Wednesday,Night,Superfast,59,Low
215,Clear,Thursday,Morning,Local,0,Medium
160,Rainy,Friday,Afternoon,Express,43,High
115,Foggy,Saturday,Evening,Superfast,60,Low
245,Clear,Sunday,Night,Local,2,Medium
185,Rainy,Monday,Morning,Express,44,High
90,Foggy,Tuesday,Afternoon,Superfast,61,Low
255,Clear,Wednesday,Evening,Local,1,Medium
175,Rainy,Thursday,Night,Express,45,High
100,Foggy,Friday,Morning,Superfast,62,Low
220,Clear,Saturday,Afternoon,Local,0,Medium
150,Rainy,Sunday,Evening,Express,46,High
75,Foggy,Monday,Night,Superfast,63,Low
230,Clear,Tuesday,Morning,Local,2,Medium
165,Rainy,Wednesday,Afternoon,Express,47,High
65,Foggy,Thursday,Evening,Superfast,64,Low
240,Clear,Friday,Night,Local,1,Medium
180,Rainy,Saturday,Morning,Express,48,High
110,Foggy,Sunday,Afternoon,Superfast,65,Low
250,Clear,Monday,Evening,Local,0,Medium
140,Rainy,Tuesday,Night,Express,49,High
85,Foggy,Wednesday,Morning,Superfast,66,Low
260,Clear,Thursday,Afternoon,Local,2,Medium
190,Rainy,Friday,Evening,Express,50,High
120,Foggy,Saturday,Night,Superfast,67,Low
265,Clear,Sunday,Morning,Local,1,Medium
170,Rainy,Monday,Afternoon,Express,51,High
95,Foggy,Tuesday,Evening,Superfast,68,Low
225,Clear,Wednesday,Night,Local,0,Medium
155,Rainy,Thursday,Morning,Express,52,High
105,Foggy,Friday,Afternoon,Superfast,69,Low
235,Clear,Saturday,Evening,Local,2,Medium
175,Rainy,Sunday,Night,Express,53,High
80,Foggy,Monday,Morning,Superfast,70,Low
215,Clear,Tuesday,Afternoon,Local,1,Medium
165,Rainy,Wednesday,Evening,Express,54,High
70,Foggy,Thursday,Night,Superfast,71,Low
245,Clear,Friday,Morning,Local,0,Medium
185,Rainy,Saturday,Afternoon,Express,55,High
115,Foggy,Sunday,Evening,Superfast,72,Low
255,Clear,Monday,Night,Local,2,Medium
150,Rainy,Tuesday,Morning,Express,56,High
100,Foggy,Wednesday,Afternoon,Superfast,73,Low
220,Clear,Thursday,Evening,Local,1,Medium
160,Rainy,Friday,Night,Express,57,High
75,Foggy,Saturday,Morning,Superfast,74,Low
230,Clear,Sunday,Afternoon,Local,0,Medium
140,Rainy,Monday,Evening,Express,58,High
90,Foggy,Tuesday,Night,Superfast,75,Low
260,Clear,Wednesday,Morning,Local,2,Medium
190,Rainy,Thursday,Afternoon,Express,59,High
120,Foggy,Friday,Evening,Superfast,76,Low
265,Clear,Saturday,Night,Local,1,Medium
170,Rainy,Sunday,Morning,Express,60,High
85,Foggy,Monday,Afternoon,Superfast,77,Low
225,Clear,Tuesday,Evening,Local,0,Medium
155,Rainy,Wednesday,Night,Express,61,High
65,Foggy,Thursday,Morning,Superfast,78,Low
235,Clear,Friday,Afternoon,Local,2,Medium
180,Rainy,Saturday,Evening,Express,62,High
110,Foggy,Sunday,Night,Superfast,79,Low
250,Clear,Monday,Morning,Local,1,Medium
175,Rainy,Tuesday,Afternoon,Express,63,High
95,Foggy,Wednesday,Evening,Superfast,80,Low
240,Clear,Thursday,Night,Local,0,Medium
165,Rainy,Friday,Morning,Express,64,High
105,Foggy,Saturday,Afternoon,Superfast,81,Low
255,Clear,Sunday,Evening,Local,2,Medium
145,Rainy,Monday,Night,Express,65,High
80,Foggy,Tuesday,Morning,Superfast,82,Low
220,Clear,Wednesday,Afternoon,Local,1,Medium
160,Rainy,Thursday,Evening,Express,66,High
70,Foggy,Friday,Night,Superfast,83,Low
230,Clear,Saturday,Morning,Local,0,Medium
185,Rainy,Sunday,Afternoon,Express,67,High
115,Foggy,Monday,Evening,Superfast,84,Low
245,Clear,Tuesday,Night,Local,2,Medium
175,Rainy,Wednesday,Morning,Express,68,High
90,Foggy,Thursday,Afternoon,Superfast,85,Low
255,Clear,Friday,Evening,Local,1,Medium
150,Rainy,Saturday,Night,Express,69,High
100,Foggy,Sunday,Morning,Superfast,86,Low
265,Clear,Monday,Afternoon,Local,0,Medium
190,Rainy,Tuesday,Evening,Express,70,High
125,Foggy,Wednesday,Night,Superfast,87,Low
270,Clear,Thursday,Morning,Local,2,Medium
180,Rainy,Friday,Afternoon,Express,71,High
85,Foggy,Saturday,Evening,Superfast,88,Low
220,Clear,Sunday,Night,Local,1,Medium
165,Rainy,Monday,Morning,Express,72,High
95,Foggy,Tuesday,Afternoon,Superfast,89,Low
235,Clear,Wednesday,Evening,Local,0,Medium
155,Rainy,Thursday,Night,Express,73,High
105,Foggy,Friday,Morning,Superfast,90,Low
250,Clear,Saturday,Afternoon,Local,2,Medium
140,Rainy,Sunday,Evening,Express,74,High
75,Foggy,Monday,Night,Superfast,91,Low
260,Clear,Tuesday,Morning,Local,1,Medium
175,Rainy,Wednesday,Afternoon,Express,75,High
110,Foggy,Thursday,Evening,Superfast,92,Low
225,Clear,Friday,Night,Local,0,Medium
170,Rainy,Saturday,Morning,Express,76,High
120,Foggy,Sunday,Afternoon,Superfast,93,Low
215,Clear,Monday,Evening,Local,2,Medium
160,Rainy,Tuesday,Night,Express,77,High
65,Foggy,Wednesday,Morning,Superfast,94,Low
240,Clear,Thursday,Afternoon,Local,1,Medium
185,Rainy,Friday,Evening,Express,78,High
95,Foggy,Saturday,Night,Superfast,95,Low
255,Clear,Sunday,Morning,Local,0,Medium
150,Rainy,Monday,Afternoon,Express,79,High
80,Foggy,Tuesday,Evening,Superfast,96,Low
230,Clear,Wednesday,Night,Local,2,Medium
145,Rainy,Thursday,Morning,Express,80,High
70,Foggy,Friday,Afternoon,Superfast,97,Low
245,Clear,Saturday,Evening,Local,1,Medium
190,Rainy,Sunday,Night,Express,81,High
125,Foggy,Monday,Morning,Superfast,98,Low
265,Clear,Tuesday,Afternoon,Local,0,Medium
180,Rainy,Wednesday,Evening,Express,82,High
110,Foggy,Thursday,Night,Superfast,99,Low
220,Clear,Friday,Morning,Local,2,Medium
175,Rainy,Saturday,Afternoon,Express,83,High
85,Foggy,Sunday,Evening,Superfast,100,Low
215,Clear,Monday,Night,Local,1,Medium
165,Rainy,Tuesday,Morning,Express,84,High
95,Foggy,Wednesday,Afternoon,Superfast,101,Low
235,Clear,Thursday,Evening,Local,0,Medium
150,Rainy,Friday,Night,Express,85,High
105,Foggy,Saturday,Morning,Superfast,102,Low
250,Clear,Sunday,Afternoon,Local,2,Medium
190,Rainy,Monday,Evening,Express,86,High
120,Foggy,Tuesday,Night,Superfast,103,Low
260,Clear,Wednesday,Morning,Local,1,Medium
135,Rainy,Thursday,Afternoon,Express,87,High
75,Foggy,Friday,Evening,Superfast,104,Low
225,Clear,Saturday,Night,Local,0,Medium
170,Rainy,Sunday,Morning,Express,88,High
65,Foggy,Monday,Afternoon,Superfast,105,Low
240,Clear,Tuesday,Evening,Local,2,Medium
155,Rainy,Wednesday,Night,Express,89,High
100,Foggy,Thursday,Morning,Superfast,106,Low
255,Clear,Friday,Afternoon,Local,1,Medium
185,Rainy,Saturday,Evening,Express,90,High
90,Foggy,Sunday,Night,Superfast,107,Low
220,Clear,Monday,Morning,Local,0,Medium
140,Rainy,Tuesday,Afternoon,Express,91,High
80,Foggy,Wednesday,Evening,Superfast,108,Low
230,Clear,Thursday,Night,Local,2,Medium
160,Rainy,Friday,Morning,Express,92,High
70,Foggy,Saturday,Afternoon,Superfast,109,Low
245,Clear,Sunday,Evening,Local,1,Medium
180,Rainy,Monday,Night,Express,93,High
115,Foggy,Tuesday,Morning,Superfast,110,Low
265,Clear,Wednesday,Afternoon,Local,0,Medium
175,Rainy,Thursday,Evening,Express,94,High
85,Foggy,Friday,Night,Superfast,111,Low
215,Clear,Saturday,Morning,Local,2,Medium
165,Rainy,Sunday,Afternoon,Express,95,High
95,Foggy,Monday,Evening,Superfast,112,Low
235,Clear,Tuesday,Night,Local,1,Medium
150,Rainy,Wednesday,Morning,Express,96,High
105,Foggy,Thursday,Afternoon,Superfast,113,Low
250,Clear,Friday,Evening,Local,0,Medium
190,Rainy,Saturday,Night,Express,97,High
120,Foggy,Sunday,Morning,Superfast,114,Low
260,Clear,Monday,Afternoon,Local,2,Medium
135,Rainy,Tuesday,Evening,Express,98,High
75,Foggy,Wednesday,Night,Superfast,115,Low
225,Clear,Thursday,Morning,Local,1,Medium
170,Rainy,Friday,Afternoon,Express,99,High
65,Foggy,Saturday,Evening,Superfast,116,Low
240,Clear,Sunday,Night,Local,0,Medium
155,Rainy,Monday,Morning,Express,100,High
100,Foggy,Tuesday,Afternoon,Superfast,117,Low
255,Clear,Wednesday,Evening,Local,2,Medium
185,Rainy,Thursday,Night,Express,101,High
90,Foggy,Friday,Morning,Superfast,118,Low
220,Clear,Saturday,Afternoon,Local,1,Medium
140,Rainy,Sunday,Evening,Express,102,High
80,Foggy,Monday,Night,Superfast,119,Low
230,Clear,Tuesday,Morning,Local,0,Medium
160,Rainy,Wednesday,Afternoon,Express,103,High
70,Foggy,Thursday,Evening,Superfast,120,Low
245,Clear,Friday,Night,Local,2,Medium
180,Rainy,Saturday,Morning,Express,104,High
115,Foggy,Sunday,Afternoon,Superfast,121,Low
265,Clear,Monday,Evening,Local,1,Medium
175,Rainy,Tuesday,Night,Express,105,High
85,Foggy,Wednesday,Morning,Superfast,122,Low
215,Clear,Thursday,Afternoon,Local,0,Medium
165,Rainy,Friday,Evening,Express,106,High
95,Foggy,Saturday,Night,Superfast,123,Low
235,Clear,Sunday,Morning,Local,2,Medium
150,Rainy,Monday,Afternoon,Express,107,High
105,Foggy,Tuesday,Evening,Superfast,124,Low
250,Clear,Wednesday,Night,Local,1,Medium
190,Rainy,Thursday,Morning,Express,108,High
120,Foggy,Friday,Afternoon,Superfast,125,Low
260,Clear,Saturday,Evening,Local,0,Medium
135,Rainy,Sunday,Night,Express,109,High
75,Foggy,Monday,Morning,Superfast,126,Low
225,Clear,Tuesday,Afternoon,Local,2,Medium
170,Rainy,Wednesday,Evening,Express,110,High
65,Foggy,Thursday,Night,Superfast,127,Low
240,Clear,Friday,Morning,Local,1,Medium
155,Rainy,Saturday,Afternoon,Express,111,High
100,Foggy,Sunday,Evening,Superfast,128,Low
255,Clear,Monday,Night,Local,0,Medium
185,Rainy,Tuesday,Morning,Express,112,High
90,Foggy,Wednesday,Afternoon,Superfast,129,Low
220,Clear,Thursday,Evening,Local,2,Medium
140,Rainy,Friday,Night,Express,113,High
80,Foggy,Saturday,Morning,Superfast,130,Low
230,Clear,Sunday,Afternoon,Local,1,Medium
160,Rainy,Monday,Evening,Express,114,High
70,Foggy,Tuesday,Night,Superfast,131,Low
245,Clear,Wednesday,Morning,Local,0,Medium
180,Rainy,Thursday,Afternoon,Express,115,High
115,Foggy,Friday,Evening,Superfast,132,Low
265,Clear,Saturday,Night,Local,2,Medium
175,Rainy,Sunday,Morning,Express,116,High
85,Foggy,Monday,Afternoon,Superfast,133,Low
215,Clear,Tuesday,Evening,Local,1,Medium
165,Rainy,Wednesday,Night,Express,117,High
95,Foggy,Thursday,Morning,Superfast,134,Low
235,Clear,Friday,Afternoon,Local,0,Medium
150,Rainy,Saturday,Evening,Express,118,High
105,Foggy,Sunday,Night,Superfast,135,Low
250,Clear,Monday,Morning,Local,2,Medium
190,Rainy,Tuesday,Afternoon,Express,119,High
120,Foggy,Wednesday,Evening,Superfast,136,Low
260,Clear,Thursday,Night,Local,1,Medium
135,Rainy,Friday,Morning,Express,120,High
75,Foggy,Saturday,Afternoon,Superfast,137,Low
225,Clear,Sunday,Evening,Local,0,Medium
170,Rainy,Monday,Night,Express,121,High
65,Foggy,Tuesday,Morning,Superfast,138,Low
240,Clear,Wednesday,Afternoon,Local,2,Medium
155,Rainy,Thursday,Evening,Express,122,High
100,Foggy,Friday,Night,Superfast,139,Low
255,Clear,Saturday,Morning,Local,1,Medium
185,Rainy,Sunday,Afternoon,Express,123,High
90,Foggy,Monday,Evening,Superfast,140,Low
220,Clear,Tuesday,Night,Local,0,Medium
140,Rainy,Wednesday,Morning,Express,124,High
80,Foggy,Thursday,Afternoon,Superfast,141,Low
230,Clear,Friday,Evening,Local,2,Medium
160,Rainy,Saturday,Night,Express,125,High
70,Foggy,Sunday,Morning,Superfast,142,Low
245,Clear,Monday,Afternoon,Local,1,Medium
180,Rainy,Tuesday,Evening,Express,126,High
115,Foggy,Wednesday,Night,Superfast,143,Low
265,Clear,Thursday,Morning,Local,0,Medium
175,Rainy,Friday,Afternoon,Express,127,High
85,Foggy,Saturday,Evening,Superfast,144,Low
215,Clear,Sunday,Night,Local,2,Medium
165,Rainy,Monday,Morning,Express,128,High
95,Foggy,Tuesday,Afternoon,Superfast,145,Low
235,Clear,Wednesday,Evening,Local,1,Medium
150,Rainy,Thursday,Night,Express,129,High
105,Foggy,Friday,Morning,Superfast,146,Low
250,Clear,Saturday,Afternoon,Local,0,Medium
190,Rainy,Sunday,Evening,Express,130,High
120,Foggy,Monday,Night,Superfast,147,Low
260,Clear,Tuesday,Morning,Local,2,Medium
135,Rainy,Wednesday,Afternoon,Express,131,High
75,Foggy,Thursday,Evening,Superfast,148,Low
225,Clear,Friday,Night,Local,1,Medium
170,Rainy,Saturday,Morning,Express,132,High
65,Foggy,Sunday,Afternoon,Superfast,149,Low
240,Clear,Monday,Evening,Local,0,Medium
155,Rainy,Tuesday,Night,Express,133,High
100,Foggy,Wednesday,Morning,Superfast,150,Low
255,Clear,Thursday,Afternoon,Local,2,Medium
185,Rainy,Friday,Evening,Express,134,High
90,Foggy,Saturday,Night,Superfast,151,Low
220,Clear,Sunday,Morning,Local,1,Medium
140,Rainy,Monday,Afternoon,Express,135,High
80,Foggy,Tuesday,Evening,Superfast,152,Low
230,Clear,Wednesday,Night,Local,0,Medium
160,Rainy,Thursday,Morning,Express,136,High
70,Foggy,Friday,Afternoon,Superfast,153,Low
245,Clear,Saturday,Evening,Local,2,Medium
180,Rainy,Sunday,Night,Express,137,High
115,Foggy,Monday,Morning,Superfast,154,Low
265,Clear,Tuesday,Afternoon,Local,1,Medium
175,Rainy,Wednesday,Evening,Express,138,High
85,Foggy,Thursday,Night,Superfast,155,Low
215,Clear,Friday,Morning,Local,0,Medium
165,Rainy,Saturday,Afternoon,Express,139,High
95,Foggy,Sunday,Evening,Superfast,156,Low
235,Clear,Monday,Night,Local,2,Medium
150,Rainy,Tuesday,Morning,Express,140,High
105,Foggy,Wednesday,Afternoon,Superfast,157,Low
250,Clear,Thursday,Evening,Local,1,Medium
190,Rainy,Friday,Night,Express,141,High
120,Foggy,Saturday,Morning,Superfast,158,Low
260,Clear,Sunday,Afternoon,Local,0,Medium
135,Rainy,Monday,Evening,Express,142,High
75,Foggy,Tuesday,Night,Superfast,159,Low
225,Clear,Wednesday,Morning,Local,2,Medium
170,Rainy,Thursday,Afternoon,Express,143,High
65,Foggy,Friday,Evening,Superfast,160,Low
240,Clear,Saturday,Night,Local,1,Medium
155,Rainy,Sunday,Morning,Express,144,High
100,Foggy,Monday,Afternoon,Superfast,161,Low
255,Clear,Tuesday,Evening,Local,0,Medium
185,Rainy,Wednesday,Night,Express,145,High
90,Foggy,Thursday,Morning,Superfast,162,Low
220,Clear,Friday,Afternoon,Local,2,Medium
140,Rainy,Saturday,Evening,Express,146,High
80,Foggy,Sunday,Night,Superfast,163,Low
230,Clear,Monday,Morning,Local,1,Medium
160,Rainy,Tuesday,Afternoon,Express,147,High
70,Foggy,Wednesday,Evening,Superfast,164,Low
245,Clear,Thursday,Night,Local,0,Medium
180,Rainy,Friday,Morning,Express,148,High
115,Foggy,Saturday,Afternoon,Superfast,165,Low
265,Clear,Sunday,Evening,Local,2,Medium
175,Rainy,Monday,Night,Express,149,High
85,Foggy,Tuesday,Morning,Superfast,166,Low
215,Clear,Wednesday,Afternoon,Local,1,Medium
165,Rainy,Thursday,Evening,Express,150,High
95,Foggy,Friday,Night,Superfast,167,Low
235,Clear,Saturday,Morning,Local,0,Medium
150,Rainy,Sunday,Afternoon,Express,151,High
105,Foggy,Monday,Evening,Superfast,168,Low
250,Clear,Tuesday,Night,Local,2,Medium
190,Rainy,Wednesday,Morning,Express,152,High
120,Foggy,Thursday,Afternoon,Superfast,169,Low
260,Clear,Friday,Evening,Local,1,Medium
135,Rainy,Saturday,Night,Express,153,High
75,Foggy,Sunday,Morning,Superfast,170,Low
225,Clear,Monday,Afternoon,Local,0,Medium
170,Rainy,Tuesday,Evening,Express,154,High
65,Foggy,Wednesday,Night,Superfast,171,Low
240,Clear,Thursday,Morning,Local,2,Medium
155,Rainy,Friday,Afternoon,Express,155,High
100,Foggy,Saturday,Evening,Superfast,172,Low
255,Clear,Sunday,Night,Local,1,Medium
185,Rainy,Monday,Morning,Express,156,High
90,Foggy,Tuesday,Afternoon,Superfast,173,Low
220,Clear,Wednesday,Evening,Local,0,Medium
140,Rainy,Thursday,Night,Express,157,High
80,Foggy,Friday,Morning,Superfast,174,Low
230,Clear,Saturday,Afternoon,Local,2,Medium
160,Rainy,Sunday,Evening,Express,158,High
70,Foggy,Monday,Night,Superfast,175,Low
245,Clear,Tuesday,Morning,Local,1,Medium
180,Rainy,Wednesday,Afternoon,Express,159,High
115,Foggy,Thursday,Evening,Superfast,176,Low
265,Clear,Friday,Night,Local,0,Medium
175,Rainy,Saturday,Morning,Express,160,High
85,Foggy,Sunday,Afternoon,Superfast,177,Low
215,Clear,Monday,Evening,Local,2,Medium
165,Rainy,Tuesday,Night,Express,161,High
95,Foggy,Wednesday,Morning,Superfast,178,Low
